brand,platform,type,product_name,rating,city,text,sentiment,intent,source_url,review_date,scraped_at,row_hash
Allen Solly,Google,Customer Service,Store Experience,5.0,Mumbai- Oberoi Mall,Excellent customer service. Staff help get customer's needs met without complaints or mistreating them.,Positive,Recommendation,,,2026-07-10T18:49:59.692853+00:00,ebed9973820653c8
Allen Solly,Google,Store Operations,Store Experience,2.0,Mumbai- Oberoi Mall,Fittings were fantastic but billing system is very slow and confusing for discounts.,Negative,Complaint,,,2026-07-10T18:49:59.692853+00:00,a036e6562df5f605
Allen Solly,Google,Customer Service,Store Experience,5.0,Mumbai- Oberoi Mall,Extremely helpful staff. Nice range of clothes for men and women.,Positive,Recommendation,,,2026-07-10T18:49:59.692853+00:00,9b1710ccce361652
Allen Solly,Google,Customer Service,Store Experience,5.0,Mumbai- Oberoi Mall,Got the perfect shirt. Staff was respectful and helpful. Overall happy shopping experience.,Positive,General Feedback,,,2026-07-10T18:49:59.692853+00:00,a1f25bfc9921df88
Allen Solly,Google,Customer Service,Store Experience,3.0,Mumbai- Oberoi Mall,Customer friendly staff and good options but pricing needs to be more reasonable.,Neutral,Recommendation,,,2026-07-10T18:49:59.692853+00:00,af728a4ad3987162
Allen Solly,Google,Customer Service,Store Experience,3.0,Mumbai- Oberoi Mall,Staff is polite but same clothes are cheaper in other stores.,Neutral,General Feedback,,,2026-07-10T18:49:59.692853+00:00,0c0d2c76e4b39119
Allen Solly,Google,Store Experience,Store Experience,4.0,Mumbai- Oberoi Mall,Great collection but slightly expensive.,Positive,Recommendation,,,2026-07-10T18:49:59.692853+00:00,7f7277971abcb781
Allen Solly,Google,Customer Service,Store Experience,5.0,Mumbai- Oberoi Mall,New collection is great and staff is friendly and helpful.,Positive,Recommendation,,,2026-07-10T18:49:59.692853+00:00,8e4358ff4c1acfb9
Allen Solly,Google,Customer Service,Store Experience,4.0,Mumbai- Oberoi Mall,Good collection for both men and women. Staff is polite and helpful.,Positive,Recommendation,,,2026-07-10T18:49:59.692853+00:00,b33b6e75f09f22cb
Allen Solly,Google,Customer Service,Store Experience,3.0,Mumbai- Oberoi Mall,Lacks variety but products are good. Staff is helpful and trained.,Neutral,Recommendation,,,2026-07-10T18:49:59.692853+00:00,04083b4eb1a7040e
Allen Solly,Google,Customer Service,Store Experience,5.0,Mumbai- Oberoi Mall,Sales staff are very nice and patient. Collection is amazing.,Positive,Recommendation,,,2026-07-10T18:49:59.692853+00:00,e04c596a848de911
Allen Solly,Google,Customer Service,Store Experience,1.0,Mumbai- Oberoi Mall,Staff is not customer friendly and experience was poor.,Negative,Complaint,,,2026-07-10T18:49:59.692853+00:00,39338d31a88d54cd
Allen Solly,Google,Store Experience,Store Experience,4.0,Mumbai- Oberoi Mall,Nice environment and amazing collection.,Positive,Recommendation,,,2026-07-10T18:49:59.692853+00:00,8dec97d645d1257a
Allen Solly,Google,Store Experience,Store Experience,3.0,Mumbai- Oberoi Mall,Limited collection compared to expectations.,Neutral,General Feedback,,,2026-07-10T18:49:59.692853+00:00,3d580bf0cbeada8f
