brand,platform,type,product_name,rating,city,text,sentiment,intent,source_url,review_date,scraped_at,row_hash
Allen Solly,Myntra,Product Quality,Oxford Shirt,5.0,Myntra,"Premium fabric and neat stitching, very comfortable for daily office wear.",Positive,General Feedback,,,2026-07-11T13:32:47.600375+00:00,395521938d693dc9
Allen Solly,Myntra,Store Experience,Oxford Shirt,5.0,Myntra,"Great fit and soft cotton material, feels light and breathable.",Positive,Recommendation,,,2026-07-11T13:32:47.600375+00:00,d3db4b8415b0b733
Allen Solly,Myntra,Product Quality,Oxford Shirt,4.0,Myntra,Good quality shirt but sizing is slightly bigger than expected.,Positive,Recommendation,,,2026-07-11T13:32:47.600375+00:00,7c2963b4cdfb5709
Allen Solly,Myntra,Store Experience,Oxford Shirt,5.0,Myntra,Stylish design and perfect for both casual and formal occasions.,Positive,General Feedback,,,2026-07-11T13:32:47.600375+00:00,e95e51fa24617364
Allen Solly,Myntra,Product Quality,Oxford Shirt,4.0,Myntra,Fabric is good but length is a bit long for regular fit.,Positive,Recommendation,,,2026-07-11T13:32:47.600375+00:00,aa9d100433a5c7e8
Allen Solly,Myntra,Product Quality,Oxford Shirt,3.0,Myntra,Decent quality but fit is inconsistent compared to expectations.,Neutral,General Feedback,,,2026-07-11T13:32:47.600375+00:00,2e80283555a8efd9
Allen Solly,Myntra,Product Quality,Casual Shirt,5.0,Myntra,Very good fabric quality and comfortable fit for daily wear.,Positive,Recommendation,,,2026-07-11T13:32:47.600375+00:00,a8c172c2293030eb
Allen Solly,Myntra,Store Experience,Casual Shirt,4.0,Myntra,Nice design and good stitching but slightly long in length.,Positive,Recommendation,,,2026-07-11T13:32:47.600375+00:00,fc3e24699ae0bd1a
Allen Solly,Myntra,Store Experience,Casual Shirt,5.0,Myntra,Perfect fit and looks premium for office wear.,Positive,General Feedback,,,2026-07-11T13:32:47.600375+00:00,d44bddd84dec112b
Allen Solly,Myntra,Product Quality,Casual Shirt,3.0,Myntra,Decent quality but sizing is not consistent.,Neutral,General Feedback,,,2026-07-11T13:32:47.600375+00:00,69d343c05a21c52a
Allen Solly,Myntra,Product Quality,Casual Shirt,4.0,Myntra,Good shirt overall but slightly expensive for the quality.,Positive,Recommendation,,,2026-07-11T13:32:47.600375+00:00,33cae786686c8051
Allen Solly,Myntra,Store Experience,Casual Shirt,5.0,Myntra,"Soft material and breathable, very comfortable.",Positive,General Feedback,,,2026-07-11T13:32:47.600375+00:00,098d6317feea4f72
Allen Solly,Myntra,Product Quality,Jacket,5.0,Myntra,Premium quality material and very stylish design.,Positive,General Feedback,,,2026-07-11T13:32:47.600375+00:00,a19fe699cbed13ea
