brand,platform,type,product_name,rating,city,text,sentiment,intent,source_url,review_date,scraped_at,row_hash
Allen Solly,Google,Store Experience,,5.0,"Allen Solly - Clothing Store, 100ft Indiranagar, Mens+Womens+Kid — Bangalore Indiranagar",Great Experience… Perfect place to buy formals especially for women. They have wide range of formals for women compared to other brands and you can buy suits for kids from 3 years. Ashis helped me to choose the products which is suitable …,Positive,Comparison,"https://www.google.com/maps/place/Allen+Solly+-+Clothing+Store,+100ft+Indiranagar,+Mens%2BWomens%2BKid/data=!4m7!3m6!1s0x3bae16a7cc1bcadf:0x5e8beba9e806d639!8m2!3d12.9713658!4d77.6410149!16s%2Fg%2F11g68zynft!19sChIJ38obzKcWrjsROdYG6Knri14?authuser=0&hl=en&rclk=1",,2026-07-10T16:49:02.625373+00:00,8edbee70ab17f397
Allen Solly,Google,Store Experience,,1.0,"Allen Solly - Clothing Store, 100ft Indiranagar, Mens+Womens+Kid — Bangalore Indiranagar","I had told them that I dont want a particular blazer, but while billing they have billed the one i didnt want..
The one i had chosen was 1k less than what was billed. A customer with similar experience had also come when i was shopping",Negative,General Feedback,"https://www.google.com/maps/place/Allen+Solly+-+Clothing+Store,+100ft+Indiranagar,+Mens%2BWomens%2BKid/data=!4m7!3m6!1s0x3bae16a7cc1bcadf:0x5e8beba9e806d639!8m2!3d12.9713658!4d77.6410149!16s%2Fg%2F11g68zynft!19sChIJ38obzKcWrjsROdYG6Knri14?authuser=0&hl=en&rclk=1",,2026-07-10T16:49:02.636404+00:00,bf354aaade2540fe
Allen Solly,Google,Product Quality,,2.0,"Allen Solly - Clothing Store, 100ft Indiranagar, Mens+Womens+Kid — Bangalore Indiranagar","I purchased two formal trousers and one casual pant on 12 June 2025. The fabric quality is excellent, and the female staff was courteous and helpful, she patiently showed me various fits, offered discounts, and ensured I received fresh …",Positive,Recommendation,"https://www.google.com/maps/place/Allen+Solly+-+Clothing+Store,+100ft+Indiranagar,+Mens%2BWomens%2BKid/data=!4m7!3m6!1s0x3bae16a7cc1bcadf:0x5e8beba9e806d639!8m2!3d12.9713658!4d77.6410149!16s%2Fg%2F11g68zynft!19sChIJ38obzKcWrjsROdYG6Knri14?authuser=0&hl=en&rclk=1",,2026-07-10T16:49:02.636416+00:00,ad621aea2840b753
Allen Solly,Google,Store Experience,,3.0,"Allen Solly - Clothing Store, 100ft Indiranagar, Mens+Womens+Kid — Bangalore Indiranagar",They have a good collection for men and women. Surprisingly there's plenty of choice for women's formal wear (unlike other brands).,Positive,Comparison,"https://www.google.com/maps/place/Allen+Solly+-+Clothing+Store,+100ft+Indiranagar,+Mens%2BWomens%2BKid/data=!4m7!3m6!1s0x3bae16a7cc1bcadf:0x5e8beba9e806d639!8m2!3d12.9713658!4d77.6410149!16s%2Fg%2F11g68zynft!19sChIJ38obzKcWrjsROdYG6Knri14?authuser=0&hl=en&rclk=1",,2026-07-10T16:49:02.636431+00:00,026046824e1fb24d
Allen Solly,Google,Store Experience,,5.0,"Allen Solly - Clothing Store, 100ft Indiranagar, Mens+Womens+Kid — Bangalore Indiranagar","Dropped by the store just to browse, the store layout was clean and easy to navigate. Staff didn’t hover, which I appreciated. Decent collection, especially for smart casuals. Might come back if I spot something more my style.",Positive,General Feedback,"https://www.google.com/maps/place/Allen+Solly+-+Clothing+Store,+100ft+Indiranagar,+Mens%2BWomens%2BKid/data=!4m7!3m6!1s0x3bae16a7cc1bcadf:0x5e8beba9e806d639!8m2!3d12.9713658!4d77.6410149!16s%2Fg%2F11g68zynft!19sChIJ38obzKcWrjsROdYG6Knri14?authuser=0&hl=en&rclk=1",,2026-07-10T16:49:02.636442+00:00,727a20a9c30dc5b0
Allen Solly,Google,Pricing,,1.0,"Allen Solly - Clothing Store, 100ft Indiranagar, Mens+Womens+Kid — Bangalore Indiranagar","Date : Jun 22, 2025.

Allen Solly is cheating customers in the name of buy 3 get 3 offer. But in …",Negative,General Feedback,"https://www.google.com/maps/place/Allen+Solly+-+Clothing+Store,+100ft+Indiranagar,+Mens%2BWomens%2BKid/data=!4m7!3m6!1s0x3bae16a7cc1bcadf:0x5e8beba9e806d639!8m2!3d12.9713658!4d77.6410149!16s%2Fg%2F11g68zynft!19sChIJ38obzKcWrjsROdYG6Knri14?authuser=0&hl=en&rclk=1",,2026-07-10T16:49:02.636459+00:00,b2a336260e24f75f
Allen Solly,Google,Fit & Sizing,,5.0,"Allen Solly - Clothing Store, 100ft Indiranagar, Mens+Womens+Kid — Bangalore Indiranagar","Really nice store for formal and semi formal clothes. Shirts, Polos, even Blazers also they got a good collection. The staff is really helpful and will show you around the correct fit for you, while giving you space. Good store overall.",Positive,General Feedback,"https://www.google.com/maps/place/Allen+Solly+-+Clothing+Store,+100ft+Indiranagar,+Mens%2BWomens%2BKid/data=!4m7!3m6!1s0x3bae16a7cc1bcadf:0x5e8beba9e806d639!8m2!3d12.9713658!4d77.6410149!16s%2Fg%2F11g68zynft!19sChIJ38obzKcWrjsROdYG6Knri14?authuser=0&hl=en&rclk=1",,2026-07-10T16:49:02.636471+00:00,6790f218b01cae9c
Allen Solly,Google,Fit & Sizing,,5.0,"Allen Solly - Clothing Store, 100ft Indiranagar, Mens+Womens+Kid — Bangalore Indiranagar",Great fitting for women clothing 👑 …,Positive,General Feedback,"https://www.google.com/maps/place/Allen+Solly+-+Clothing+Store,+100ft+Indiranagar,+Mens%2BWomens%2BKid/data=!4m7!3m6!1s0x3bae16a7cc1bcadf:0x5e8beba9e806d639!8m2!3d12.9713658!4d77.6410149!16s%2Fg%2F11g68zynft!19sChIJ38obzKcWrjsROdYG6Knri14?authuser=0&hl=en&rclk=1",,2026-07-10T16:49:02.636481+00:00,ea344c82f9f31b43
Allen Solly,Google,Pricing,,1.0,"Allen Solly - Clothing Store, 100ft Indiranagar, Mens+Womens+Kid — Bangalore Indiranagar","Allen Solly brand has very good collection and the quality has been always good, but we had very bad experience in the showroom. The staff tried to hide some of the designs because they were at discounted price and forced us in buying from …",Negative,General Feedback,"https://www.google.com/maps/place/Allen+Solly+-+Clothing+Store,+100ft+Indiranagar,+Mens%2BWomens%2BKid/data=!4m7!3m6!1s0x3bae16a7cc1bcadf:0x5e8beba9e806d639!8m2!3d12.9713658!4d77.6410149!16s%2Fg%2F11g68zynft!19sChIJ38obzKcWrjsROdYG6Knri14?authuser=0&hl=en&rclk=1",,2026-07-10T16:49:02.636495+00:00,682c8dcccb5f94b5
Allen Solly,Google,Customer Service,,5.0,"Allen Solly - Clothing Store, 100ft Indiranagar, Mens+Womens+Kid — Bangalore Indiranagar","Great support and guidance from Riaz!
Thanks!",Positive,General Feedback,"https://www.google.com/maps/place/Allen+Solly+-+Clothing+Store,+100ft+Indiranagar,+Mens%2BWomens%2BKid/data=!4m7!3m6!1s0x3bae16a7cc1bcadf:0x5e8beba9e806d639!8m2!3d12.9713658!4d77.6410149!16s%2Fg%2F11g68zynft!19sChIJ38obzKcWrjsROdYG6Knri14?authuser=0&hl=en&rclk=1",,2026-07-10T16:49:02.636510+00:00,9740d8875414ba5e
Allen Solly,Google,Fit & Sizing,,5.0,Allen Solly Men's Indiranagar — Bangalore Indiranagar,"Had a really good shopping experience at Allen Solly store. The staff was extremely helpful, patient, and guided us properly with sizes and different fit options without being pushy. …",Positive,General Feedback,https://www.google.com/maps/place/Allen+Solly+Men%27s+Indiranagar/data=!4m7!3m6!1s0x3bae1500215be2ff:0x1a9d72ed6ba5c9cd!8m2!3d12.9680483!4d77.6411758!16s%2Fg%2F11vyl_h2db!19sChIJ_-JbIQAVrjsRzcmla-1ynRo?authuser=0&hl=en&rclk=1,,2026-07-10T16:49:02.636523+00:00,5273408ebd33c4d0
Allen Solly,Google,Fit & Sizing,,4.0,Allen Solly Men's Indiranagar — Bangalore Indiranagar,They have a good collection of Men's formal and casual fittings. The staff are help ful. They would be running multiple offers. So ask for it,Positive,General Feedback,https://www.google.com/maps/place/Allen+Solly+Men%27s+Indiranagar/data=!4m7!3m6!1s0x3bae1500215be2ff:0x1a9d72ed6ba5c9cd!8m2!3d12.9680483!4d77.6411758!16s%2Fg%2F11vyl_h2db!19sChIJ_-JbIQAVrjsRzcmla-1ynRo?authuser=0&hl=en&rclk=1,,2026-07-10T16:49:02.636535+00:00,8650c601a0cc6bbd
Allen Solly,Google,Customer Service,,1.0,Allen Solly Men's Indiranagar — Bangalore Indiranagar,Very bad service.  I selected cloths after spending 10-15 mins and when i went for billing they took 30 Mins stating that their card swipe machine is getting updated and finally they were asking for 400 higher than what was mentioned in the …,Negative,General Feedback,https://www.google.com/maps/place/Allen+Solly+Men%27s+Indiranagar/data=!4m7!3m6!1s0x3bae1500215be2ff:0x1a9d72ed6ba5c9cd!8m2!3d12.9680483!4d77.6411758!16s%2Fg%2F11vyl_h2db!19sChIJ_-JbIQAVrjsRzcmla-1ynRo?authuser=0&hl=en&rclk=1,,2026-07-10T16:49:02.636547+00:00,b6e1552d94fe314b
Allen Solly,Google,Customer Service,,1.0,Allen Solly Men's Indiranagar — Bangalore Indiranagar,I just visited staff is so rude without even talking..not sure what they will do when speaking,Negative,Complaint,https://www.google.com/maps/place/Allen+Solly+Men%27s+Indiranagar/data=!4m7!3m6!1s0x3bae1500215be2ff:0x1a9d72ed6ba5c9cd!8m2!3d12.9680483!4d77.6411758!16s%2Fg%2F11vyl_h2db!19sChIJ_-JbIQAVrjsRzcmla-1ynRo?authuser=0&hl=en&rclk=1,,2026-07-10T16:49:02.636558+00:00,b19f03d5ccb85a01
Allen Solly,Google,Store Experience,,5.0,Allen Solly Men's Indiranagar — Bangalore Indiranagar,Great Collection of Men's available with us,Positive,General Feedback,https://www.google.com/maps/place/Allen+Solly+Men%27s+Indiranagar/data=!4m7!3m6!1s0x3bae1500215be2ff:0x1a9d72ed6ba5c9cd!8m2!3d12.9680483!4d77.6411758!16s%2Fg%2F11vyl_h2db!19sChIJ_-JbIQAVrjsRzcmla-1ynRo?authuser=0&hl=en&rclk=1,,2026-07-10T16:49:02.636567+00:00,e12dcaf069cec868
Allen Solly,Google,Customer Service,,5.0,Allen Solly Men's Indiranagar — Bangalore Indiranagar,BEST MENS COLLECTION BEST STAFF AND BEST SERVICE,Positive,General Feedback,https://www.google.com/maps/place/Allen+Solly+Men%27s+Indiranagar/data=!4m7!3m6!1s0x3bae1500215be2ff:0x1a9d72ed6ba5c9cd!8m2!3d12.9680483!4d77.6411758!16s%2Fg%2F11vyl_h2db!19sChIJ_-JbIQAVrjsRzcmla-1ynRo?authuser=0&hl=en&rclk=1,,2026-07-10T16:49:02.636575+00:00,652ebe323895dec2
Allen Solly,Google,Fit & Sizing,,4.0,Allen Solly store Delhi Connaught Place — Delhi Connaught Place,"A good store with a large variety.

*Spacious showroom, easily located. …",Positive,General Feedback,"https://www.google.com/maps/place/Allen+Solly,+CP/@28.6313629,77.2205529,17z/data=!3m1!4b1!4m6!3m5!1s0x390cfd94a70c295d:0xfbda2db2b491f306!8m2!3d28.6313629!4d77.2205529!16s%2Fg%2F1v2gc3px?entry=ttu&g_ep=EgoyMDI2MDcwNy4wIKXMDSoASAFQAw%3D%3D",,2026-07-10T16:49:02.636756+00:00,17355913503b3668
Allen Solly,Google,Pricing,,5.0,Allen Solly store Delhi Connaught Place — Delhi Connaught Place,"Wide variety of women clothing, as I shopped for the same.
Service by staff is effective.
Value for money is good.",Positive,Recommendation,"https://www.google.com/maps/place/Allen+Solly,+CP/@28.6313629,77.2205529,17z/data=!3m1!4b1!4m6!3m5!1s0x390cfd94a70c295d:0xfbda2db2b491f306!8m2!3d28.6313629!4d77.2205529!16s%2Fg%2F1v2gc3px?entry=ttu&g_ep=EgoyMDI2MDcwNy4wIKXMDSoASAFQAw%3D%3D",,2026-07-10T16:49:02.636766+00:00,6680da19dddebfd9
Allen Solly,Google,Store Experience,,5.0,Allen Solly store Delhi Connaught Place — Delhi Connaught Place,"Good collection for women, men and kids clothing
Women's formals are also available , formal shoes
Kids collections are so cool 😍 …",Positive,General Feedback,"https://www.google.com/maps/place/Allen+Solly,+CP/@28.6313629,77.2205529,17z/data=!3m1!4b1!4m6!3m5!1s0x390cfd94a70c295d:0xfbda2db2b491f306!8m2!3d28.6313629!4d77.2205529!16s%2Fg%2F1v2gc3px?entry=ttu&g_ep=EgoyMDI2MDcwNy4wIKXMDSoASAFQAw%3D%3D",,2026-07-10T16:49:02.636775+00:00,14751e39e6928634
Allen Solly,Google,Store Experience,,5.0,Allen Solly store Delhi Connaught Place — Delhi Connaught Place,"Nice designs, Great T shirts..
Tuxedo is classy",Positive,General Feedback,"https://www.google.com/maps/place/Allen+Solly,+CP/@28.6313629,77.2205529,17z/data=!3m1!4b1!4m6!3m5!1s0x390cfd94a70c295d:0xfbda2db2b491f306!8m2!3d28.6313629!4d77.2205529!16s%2Fg%2F1v2gc3px?entry=ttu&g_ep=EgoyMDI2MDcwNy4wIKXMDSoASAFQAw%3D%3D",,2026-07-10T16:49:02.636804+00:00,8b4b4b06c5803371
Allen Solly,Google,Product Quality,,4.0,Allen Solly store Delhi Connaught Place — Delhi Connaught Place,"Loved the quality, the pant and shirt look amazing.",Positive,Recommendation,"https://www.google.com/maps/place/Allen+Solly,+CP/@28.6313629,77.2205529,17z/data=!3m1!4b1!4m6!3m5!1s0x390cfd94a70c295d:0xfbda2db2b491f306!8m2!3d28.6313629!4d77.2205529!16s%2Fg%2F1v2gc3px?entry=ttu&g_ep=EgoyMDI2MDcwNy4wIKXMDSoASAFQAw%3D%3D",,2026-07-10T16:49:02.636814+00:00,63adab27508e074c
Allen Solly,Google,Pricing,,5.0,Allen Solly store Delhi Connaught Place — Delhi Connaught Place,"YOU HAVE TO VISIT THIS FACTORY OUTLET OF ALLEN SOLLY!!!!!!😍
I mean the prices the discounts the collections 😍
Everything about the brand this outlet is amazing and beyond words!!!
Visit now and thank me later …",Positive,Recommendation,"https://www.google.com/maps/place/Allen+Solly,+CP/@28.6313629,77.2205529,17z/data=!3m1!4b1!4m6!3m5!1s0x390cfd94a70c295d:0xfbda2db2b491f306!8m2!3d28.6313629!4d77.2205529!16s%2Fg%2F1v2gc3px?entry=ttu&g_ep=EgoyMDI2MDcwNy4wIKXMDSoASAFQAw%3D%3D",,2026-07-10T16:49:02.636823+00:00,f7c36ccedfd0ea16
Allen Solly,Google,Product Quality,,2.0,Allen Solly store Delhi Connaught Place — Delhi Connaught Place,Very limited collection and bad designs and prints,Negative,General Feedback,"https://www.google.com/maps/place/Allen+Solly,+CP/@28.6313629,77.2205529,17z/data=!3m1!4b1!4m6!3m5!1s0x390cfd94a70c295d:0xfbda2db2b491f306!8m2!3d28.6313629!4d77.2205529!16s%2Fg%2F1v2gc3px?entry=ttu&g_ep=EgoyMDI2MDcwNy4wIKXMDSoASAFQAw%3D%3D",,2026-07-10T16:49:02.636834+00:00,4133ef3c44c2bf80
